,area,mean int,median int,95%quant-low,95%quant-high
0,PTLp,1.322908692695273,1.33336373279144,0.9513672250582907,1.633151297820404
1,TEa,0.8490163457630208,0.8471620604691517,0.5408115118764122,1.1632565008032776
2,VIS,2.8453511907309483,2.8477717313449933,2.6274182567057744,3.0440816180971106
3,AUD,1.3450411246743132,1.34364658559535,1.0395693396639716,1.6400165799085324
4,RSP,2.507388221602868,2.507538766302452,2.2246714253268602,2.77595632761307
5,Thal,2.574717741282356,2.572161219018035,2.3999000374121384,2.7626399882445107
6,Thal_noLGd,2.3223143934718102,2.31898494051315,2.0951446841252364,2.557804501540789
7,Dist_ctx,2.087167972614617,2.08917428966785,1.8082281265043567,2.3552606436822128
8,VISp,2.6216222654302044,2.6292510004476686,2.361093223119704,2.8500091998995956
9,VISpm,1.957268263801591,1.9626306892654017,1.613648155386319,2.289894283348182
10,VISl,1.601146695353407,1.6107181726883284,1.2595473620300377,1.881658193053522
11,VISam,1.5537431326761557,1.558668679413401,1.1517960216598793,1.9101671792878403
12,VISal,1.572875756917763,1.5725148703052194,1.31204576041442,1.8192128255673659
13,RSPagl,1.7517506027951895,1.7514103701844959,1.4474796398847385,2.0571635736529106
14,RSPd,1.9765793071367028,1.9797910178277165,1.6864603252624955,2.2501826210216684
15,RSPv,2.21756371167377,2.2205207705882106,1.950251424435487,2.4775423500587674
16,AM,1.0949897956613408,1.1101069977166238,0.6219877137884936,1.4953894813945316
17,LD,2.015134710923436,2.0133907663633117,1.8669741464139322,2.1734130467325237
18,LP,1.72909074505057,1.7351714993401208,1.3240712695424475,2.1097213155500394
19,LGd,2.0494623335327122,2.0599361670428364,1.7067938008422228,2.331591632898912
20,ORB,1.5535659869164986,1.5570229159475049,1.1777930830793308,1.8967666399328866
21,ACA,1.2410007680872666,1.2423083598407167,0.9514182505690779,1.5469915010251523
22,MOs,0.8767519961403545,0.8789220505689637,0.5347247526101131,1.1950633557033674
23,CLA,0.5468017049130718,0.5459131703802111,0.24208149437655366,0.8632418440280029
24,input,3.266160352569733,3.2651373887202526,3.0827071498382552,3.4545795096114333
