,area,mean slope,median slope,95%quant-low,95%quant-high
0,PTLp,0.6596235790428084,0.6575204909816992,0.5154507430897981,0.8146928886183807
1,TEa,0.8026936330528475,0.803311354543944,0.6663778186269868,0.9378337544351223
2,VIS,0.45834041161134903,0.45805668263353544,0.3688642767289467,0.5513479602942363
3,AUD,0.7284310927330688,0.7278648298411625,0.6006960114321421,0.865041796000136
4,RSP,0.48911538226166906,0.4889264213632794,0.3687397979545507,0.6109023569917262
5,Thal,0.4071680618741666,0.40769519711595154,0.3272683237802634,0.4838646072378865
6,Thal_noLGd,0.46889891317937565,0.4699107819326144,0.36555657828854116,0.5676109181589494
7,Dist_ctx,0.6842427735791116,0.6832313580272555,0.563224210819031,0.8049258259242466
8,VISp,0.4500802297284742,0.44860113524760215,0.34347806978078665,0.5608381856632589
9,VISpm,0.42405145474582434,0.42180394011609434,0.27355903197386056,0.5766388972075559
10,VISl,0.5846710862703152,0.5837784137606379,0.4513342434007084,0.7264778980899971
11,VISam,0.5340070951308128,0.5314245050175832,0.371964393477883,0.706410550724383
12,VISal,0.5113740882735514,0.5107674733060528,0.3995960402953977,0.625641798165966
13,RSPagl,0.5292191874560763,0.5292159674619019,0.391395230006924,0.6650471314256402
14,RSPd,0.5169032839319694,0.5162139528977132,0.3920403620465432,0.6429034370437671
15,RSPv,0.4571892642865042,0.4562420394923,0.3410591992885622,0.5740355220035575
16,AM,0.5546157148562072,0.5528899262784712,0.36806617108934137,0.7569073386971215
17,LD,0.36610527628318296,0.36665345347271083,0.29855236052143047,0.4341996909314298
18,LP,0.6115032750082688,0.6097298618093726,0.44077228282742464,0.7864690932424805
19,LGd,0.30318772706323066,0.3024398804560408,0.16663166812260585,0.4482323407370315
20,ORB,0.5917155476195156,0.5901166161879301,0.43353776132408395,0.751804921767814
21,ACA,0.698645502683682,0.6988272212250868,0.5654177979911919,0.8304521715649023
22,MOs,0.7105571963378977,0.70863140604255,0.5670309151261907,0.8633588008823914
23,CLA,0.766521148076049,0.7670692152198237,0.6267378175692495,0.8995347145427011
24,input,0.4973847286602262,0.4980726920249254,0.41441124797388323,0.577812275432843
