,area,linear,quadratic
0,PTLp,-39.50707308487492,-23.627536439082412
1,TEa,-45.42958538502923,-29.63374626230482
2,VIS,-66.51104249820378,-51.45118334145301
3,AUD,-47.328149907845614,-31.274560269531243
4,RSP,-51.0458209359268,-35.24752041713463
5,Thal,-75.28117269563225,-59.38536803687868
6,Thal_noLGd,-61.37944493231258,-47.65336103144879
7,Dist_ctx,-52.26850185361204,-36.45683015215793
8,VISp,-56.12325641804652,-43.46017309344942
9,VISpm,-38.86320546653858,-22.777097311432016
10,VISl,-44.33864506009162,-29.894329512567147
11,VISam,-33.18268489412785,-18.9993426875362
12,VISal,-56.205248469829954,-40.17793801781978
13,RSPagl,-44.66771078120547,-28.606638881121533
14,RSPd,-48.947216830969055,-33.46194042841115
15,RSPv,-52.26486829142631,-36.46645356545836
16,AM,-24.653960905195518,-9.046193006568124
17,LD,-84.4671200574182,-69.33645572710645
18,LP,-31.503648693608056,-19.370364484425828
19,LGd,-44.3333075154885,-31.977460632184197
20,ORB,-35.554868419917106,-20.846955229277597
21,ACA,-45.360894610458644,-29.473036351066703
22,MOs,-41.251955597524045,-28.945825018942948
23,CLA,-43.680219538260076,-31.440803256534004
