area,log-normal res,normal res,deltaAICc
PTLp,422.030425589938,440.4967441436887,-18.46631855375074
TEa,394.0334461152636,426.5806143366394,-32.54716822137584
VIS,536.3359741971133,547.9502420054805,-11.61426780836723
AUD,435.9275015576389,450.3229237626196,-14.395422204980719
RSP,516.7880245320588,543.399145754398,-26.611121222339193
Thal,478.7380034532581,488.89065790891283,-10.152654455654726
Thal_noLGd,476.8474466235365,489.1881162180899,-12.34066959455339
Dist_ctx,514.6643094957237,537.6765623332979,-23.012252837574124
VISp,515.7027720601815,521.127659192285,-5.4248871321035494
VISpm,440.2728154118705,468.81092335668455,-28.538107944814044
VISl,432.60953246565657,438.6637859818967,-6.054253516240124
VISam,423.9074703756127,436.7942981254286,-12.886827749815893
VISal,397.13209968649926,414.44749138642374,-17.315391699924476
RSPagl,436.46383650538553,467.95167443138223,-31.4878379259967
RSPd,457.9262003192561,484.1683378272529,-26.2421375079968
RSPv,469.54820413662355,493.2078253959486,-23.659621259325036
AM,378.91731328226496,388.4583296459008,-9.541016363635833
LD,386.2471039242452,398.8376396455249,-12.590535721279707
LP,469.30877159882493,468.48930488003543,0.8194667187894993
LGd,413.4651854914642,414.62475159964555,-1.159566108181366
ORB,437.01747533350266,463.23598307619073,-26.218507742688075
ACA,416.3535273599942,461.07266155668447,-44.71913419669028
MOs,376.75569650298814,411.8026986301554,-35.047002127167275
CLA,346.9541581143645,387.30196485678823,-40.34780674242376
input,593.8170313000871,619.0151682709576,-25.19813697087045
