,ID,starter,input,condition
0,#15272,38,63,ILA SST
1,PV01,47,266,PL PV
2,#15185,52,229,ILA SST
3,#15184,64,200,ILA SST
4,SOM01 ,98,1353,ILA SST
5,#15030908,116,1447,ILA PV
6,SOM02 ,129,2856,ILA SST
7,#15122301,137,537,PL SST
8,#15030508,143,1812,ILA PV
9,#16030510,150,1447,PL PV
10,#16030909,226,2102,PL PV
11,#04 ILA,278,4040,ILA VIP
12,#15112704,282,7047,ILA SST
13,#15122305,283,3553,PL SST
14,#15030507,297,2397,ILA PV
15,#15122303,310,1903,PL SST
16,#15122302,321,2975,PL SST
17,#15122304,343,3382,PL SST
18,#15030912,389,4065,ILA PV
19,#01 PL,444,5051,PL VIP
20,#02 ILA,447,2560,ILA VIP
21,#16030910,574,4682,PL PV
22,#02 PL,592,5609,PL VIP
23,#03 ILA,601,5592,ILA VIP
24,#04 PL,669,10213,PL VIP
25,#03 PL,675,7855,PL VIP
26,#01 ILA,905,11464,ILA VIP
27,#15112701,1170,26843,PL SST
